iter	Passed	Remaining
0	317	158652
1	584	145501
2	809	134124
3	1059	131435
4	1276	126383
5	1582	130291
6	1832	129056
7	2052	126257
8	2298	125382
9	2503	122681
10	2710	120476
11	2909	118301
12	3138	117556
13	3339	115913
14	3544	114615
15	3751	113491
16	3958	112465
17	4203	112562
18	4412	111700
19	4618	110842
20	4825	110067
21	5063	110008
22	5285	109616
23	5495	109002
24	5704	108382
25	5905	107658
26	6151	107762
27	6354	107111
28	6566	106645
29	6801	106564
30	7053	106708
31	7324	107116
32	7561	107007
33	7801	106929
34	8004	106348
35	8218	105921
36	8452	105765
37	8684	105585
38	8888	105063
39	9125	104941
40	9366	104864
41	9577	104444
42	9826	104436
43	10070	104369
44	10285	103996
45	10538	104008
46	10763	103740
47	10980	103398
48	11270	103733
49	11492	103428
50	11695	102967
51	11915	102655
52	12132	102323
53	12354	102038
54	12555	101582
55	12756	101144
56	12989	100955
57	13238	100888
58	13439	100452
59	13656	100144
60	13903	100061
61	14154	99997
62	14426	100068
63	14629	99660
64	14862	99466
65	15066	99071
66	15308	98935
67	15518	98588
68	15756	98420
69	15968	98091
70	16176	97745
71	16400	97492
72	16650	97393
73	16856	97037
74	17066	96707
75	17321	96637
76	17573	96539
77	17781	96200
78	17987	95857
79	18198	95540
80	18420	95288
81	18660	95120
82	18917	95041
83	19169	94932
84	19382	94633
85	19634	94518
86	19881	94378
87	20082	94022
88	20335	93907
89	20584	93772
90	20819	93574
91	21052	93364
92	21287	93161
93	21533	93007
94	21769	92806
95	21995	92563
96	22196	92216
97	22425	91989
98	22668	91818
99	22871	91485
100	23075	91157
101	23277	90826
102	23528	90686
103	23784	90562
104	24018	90356
105	24229	90059
106	24465	89857
107	24665	89528
108	24865	89198
109	25102	88999
110	25352	88846
111	25587	88643
112	25788	88319
113	26021	88107
114	26225	87798
115	26471	87630
116	26697	87393
117	26907	87106
118	27120	86831
119	27350	86608
120	27597	86440
121	27846	86279
122	28084	86079
123	28304	85827
124	28520	85562
125	28752	85346
126	28964	85067
127	29211	84895
128	29421	84616
129	29635	84347
130	29885	84182
131	30127	83992
132	30376	83821
133	30625	83647
134	30868	83460
135	31073	83166
136	31288	82904
137	31518	82679
138	31750	82459
139	31953	82165
140	32195	81972
141	32401	81688
142	32613	81418
143	32811	81116
144	33043	80899
145	33275	80681
146	33510	80470
147	33769	80317
148	34012	80124
149	34247	79910
150	34481	79696
151	34684	79409
152	34935	79232
153	35178	79038
154	35393	78780
155	35663	78643
156	35890	78409
157	36110	78163
158	36376	78015
159	36588	77750
160	36810	77507
161	37061	77325
162	37320	77160
163	37583	77000
164	37846	76840
165	38094	76647
166	38398	76567
167	38619	76320
168	38841	76074
169	39082	75866
170	39352	75713
171	39622	75559
172	39885	75390
173	40133	75193
174	40383	74997
175	40627	74792
176	40898	74633
177	41142	74427
178	41392	74228
179	41636	74020
180	41887	73823
181	42104	73567
182	42324	73316
183	42569	73107
184	42776	72836
185	43018	72622
186	43268	72423
187	43505	72200
188	43779	72038
189	43991	71776
190	44232	71560
191	44473	71342
192	44692	71090
193	44931	70871
194	45169	70650
195	45403	70421
196	45635	70190
197	45874	69969
198	46112	69747
199	46314	69471
200	46570	69276
201	46779	69011
202	47036	68816
203	47242	68548
204	47479	68324
205	47738	68132
206	47948	67868
207	48153	67599
208	48391	67377
209	48647	67180
210	48865	66930
211	49074	66667
212	49316	66449
213	49543	66212
214	49768	65971
215	49996	65736
216	50235	65515
217	50450	65262
218	50689	65039
219	50924	64813
220	51136	64556
221	51338	64288
222	51583	64073
223	51805	63831
224	52020	63580
225	52236	63330
226	52479	63114
227	52718	62891
228	52944	62654
229	53193	62444
230	53392	62175
231	53641	61965
232	53846	61704
233	54085	61482
234	54326	61261
235	54562	61035
236	54768	60776
237	54973	60516
238	55183	60263
239	55433	60052
240	55691	59850
241	55893	59588
242	56141	59376
243	56372	59145
244	56721	59036
245	56924	58775
246	57168	58557
247	57398	58324
248	57633	58096
249	57842	57842
250	58074	57611
251	58302	57377
252	58536	57147
253	58738	56888
254	58948	56637
255	59214	56438
256	59482	56242
257	59734	56030
258	59973	55805
259	60229	55596
260	60471	55374
261	60704	55143
262	60920	54897
263	61191	54701
264	61405	54454
265	61618	54205
266	61845	53969
267	62075	53737
268	62315	53512
269	62563	53294
270	62817	53081
271	63048	52849
272	63293	52628
273	63531	52401
274	63765	52172
275	64035	51970
276	64300	51765
277	64508	51514
