iter	MultiClass
192	0.8599256485
193	0.8594807154
194	0.8587386713
195	0.8583720244
196	0.8581461614
197	0.8579407456
198	0.8576089084
199	0.857344256
200	0.8569319491
201	0.8559854351
202	0.8557842111
203	0.8553476901
204	0.8550415097
205	0.8548948554
206	0.8542329798
207	0.8538605352
208	0.853537971
209	0.8528464408
210	0.8521933145
211	0.8519376942
212	0.8516184893
213	0.8513697781
214	0.851187562
215	0.8509093124
216	0.8503163421
217	0.8500418787
218	0.8498197999
219	0.8493506594
220	0.8491071651
221	0.8483728028
222	0.8481369131
223	0.8475980464
224	0.8472417807
225	0.8466650845
226	0.8461367283
227	0.845769854
228	0.8454009592
229	0.8448394355
230	0.8445835656
231	0.8440700736
232	0.843656084
233	0.8431841129
234	0.8428384107
235	0.8423050876
236	0.8418765379
237	0.8417588222
238	0.8415767007
239	0.8413750968
240	0.8409932553
241	0.8408432681
242	0.8404892947
243	0.8400557637
244	0.8394976938
245	0.8389746748
246	0.8385638529
247	0.8380732284
248	0.8378775176
249	0.8374380212
250	0.8371869835
251	0.836758493
252	0.836391311
253	0.8359911835
254	0.8355019435
255	0.8349952448
256	0.8343756966
257	0.8339671152
258	0.8335318776
259	0.8332937737
260	0.8329728243
261	0.8325433576
262	0.8321503347
263	0.8318428413
264	0.8314976735
265	0.8307520286
266	0.8304714121
267	0.8301605798
268	0.8299922352
269	0.8299386641
270	0.829577551
271	0.8291322018
272	0.8287567384
273	0.8286272116
274	0.8278839563
275	0.8276151883
276	0.8273447487
277	0.8271536539
278	0.8265282005
279	0.826126632
280	0.825563971
281	0.8251933142
282	0.8247183891
283	0.8245240664
284	0.8241546204
285	0.8237523762
286	0.8233778622
287	0.8229773578
288	0.82247071
289	0.8220872256
290	0.8219090789
291	0.8213863029
292	0.8209283952
293	0.8203385183
294	0.8200781959
295	0.819639782
296	0.8194337196
297	0.8192033757
298	0.818730078
299	0.8185027114
300	0.818008269
301	0.8177935632
302	0.8173754322
303	0.8171690421
304	0.8168685011
305	0.8164473143
306	0.8162246388
307	0.8160323477
308	0.8158230426
309	0.8155140288
310	0.8152398763
311	0.8149239262
312	0.8145142972
313	0.8140653859
314	0.8137063393
315	0.8134898785
316	0.813083286
317	0.8126047824
318	0.8121858032
319	0.8117117751
320	0.8113322808
321	0.8110232902
322	0.8105048907
323	0.8103121242
324	0.8100974368
325	0.8098474891
326	0.8095545904
327	0.8088853627
328	0.808415506
329	0.8080277387
330	0.8077177574
331	0.8074241356
332	0.8069420993
333	0.8066093103
334	0.8062048727
335	0.805813981
336	0.8055522615
337	0.8052018453
338	0.8047322633
339	0.8045020059
340	0.8042305192
341	0.8039320116
342	0.8033746343
343	0.8029675775
344	0.8026779686
345	0.8023739004
346	0.8020897401
347	0.8016643265
348	0.8013724587
349	0.8010298291
350	0.8006437975
351	0.8003673662
352	0.7999582154
353	0.7995889303
354	0.7993376236
355	0.799071385
356	0.7987830155
357	0.7984610568
358	0.7979863251
359	0.7977709244
360	0.7973909335
361	0.7966747042
362	0.7965748513
363	0.7960645728
364	0.7957231707
365	0.7952851551
366	0.7949969156
367	0.7947643334
368	0.794455127
369	0.7938561411
370	0.7935334224
371	0.793134868
372	0.792675052
373	0.7924378716
374	0.792047593
375	0.7916704309
376	0.7913022451
377	0.7908530886
378	0.7905832513
379	0.7902887197
380	0.7896215646
381	0.7892495813
382	0.7887382409
383	0.7884662581
384	0.7880528871
385	0.787707331
386	0.7872429083
387	0.78693858
388	0.7866266908
389	0.7862589737
390	0.7859398249
391	0.7855627324
