iter	Passed	Remaining
0	276	138123
1	552	137514
2	760	125941
3	992	123074
4	1339	132599
5	1559	128429
6	1762	124159
7	2003	123244
8	2223	121309
9	2445	119813
10	2647	117707
11	2865	116541
12	3071	115050
13	3275	113719
14	3528	114087
15	3729	112831
16	3946	112124
17	4154	111235
18	4360	110379
19	4569	109657
20	4769	108796
21	5028	109249
22	5237	108627
23	5475	108587
24	5683	107987
25	5926	108041
26	6166	108029
27	6404	107964
28	6649	108002
29	6858	107445
30	7078	107085
31	7312	106938
32	7552	106879
33	7756	106311
34	7964	105819
35	8211	105833
36	8471	106013
37	8734	106196
38	8977	106113
39	9198	105785
40	9430	105575
41	9745	106274
42	10015	106447
43	10316	106915
44	10578	106955
45	10938	107960
46	11159	107555
47	11366	107037
48	11603	106799
49	11822	106402
50	12068	106247
51	12296	105942
52	12507	105486
53	12723	105084
54	12950	104781
55	13190	104580
56	13421	104308
57	13685	104292
58	13916	104016
59	14117	103531
60	14382	103508
61	14639	103419
62	14888	103271
63	15120	103008
64	15327	102578
65	15534	102152
66	15734	101684
67	15938	101253
68	16141	100824
69	16341	100386
70	16574	100148
71	16772	99703
72	17016	99537
73	17224	99156
74	17482	99069
75	17719	98853
76	17943	98571
77	18162	98265
78	18407	98094
79	18629	97805
80	18838	97450
81	19067	97197
82	19266	96796
83	19470	96424
84	19670	96040
85	19932	95954
86	20147	95643
87	20389	95458
88	20623	95238
89	20825	94870
90	21031	94525
91	21266	94311
92	21530	94225
93	21753	93956
94	21977	93693
95	22238	93585
96	22476	93380
97	22719	93198
98	22998	93156
99	23210	92843
100	23429	92558
101	23674	92376
102	23934	92251
103	24214	92199
104	24471	92058
105	24740	91960
106	24989	91783
107	25246	91634
108	25493	91450
109	25722	91199
110	25966	90999
111	26233	90880
112	26488	90715
113	26731	90512
114	26976	90313
115	27237	90165
116	27450	89859
117	27671	89581
118	27924	89403
119	28195	89287
120	28442	89088
121	28649	88766
122	28893	88559
123	29102	88245
124	29355	88067
125	29612	87898
126	29868	87725
127	30083	87431
128	30338	87252
129	30606	87110
130	30902	87045
131	31202	86988
132	31483	86875
133	31720	86639
134	31967	86431
135	32194	86168
136	32472	86040
137	32713	85813
138	32966	85617
139	33217	85416
140	33483	85251
141	33734	85049
142	33959	84781
143	34197	84542
144	34482	84422
145	34709	84158
146	35013	84079
147	35301	83960
148	35579	83814
149	35865	83686
150	36162	83579
151	36452	83456
152	36679	83187
153	36940	82996
154	37204	82809
155	37473	82634
156	37749	82472
157	37997	82248
158	38341	82229
159	38570	81961
160	38836	81774
161	39064	81505
162	39331	81318
163	39601	81135
164	39862	80933
165	40109	80701
166	40369	80496
167	40620	80272
168	40866	80040
169	41114	79810
170	41387	79629
171	41669	79462
172	41877	79156
173	42138	78949
174	42355	78660
175	42620	78461
176	42845	78187
177	43140	78040
178	43436	77894
179	43695	77680
180	43915	77398
181	44168	77172
182	44447	76993
183	44753	76859
184	45014	76646
185	45285	76449
186	45608	76339
187	45834	76066
188	46056	75785
189	46334	75598
190	46637	75449
191	46869	75187
192	47117	74948
193	47463	74865
194	47758	74698
195	48040	74511
196	48298	74286
197	48575	74089
198	48859	73902
199	49115	73673
200	49380	73456
201	49663	73266
202	49943	73069
203	50164	72787
204	50442	72588
205	50715	72380
206	50981	72162
207	51249	71946
208	51531	71750
209	51796	71528
210	52047	71288
211	52311	71064
212	52555	70814
213	52860	70645
214	53140	70442
215	53365	70165
216	53599	69901
217	53875	69692
218	54143	69471
219	54456	69307
220	54793	69174
221	55057	68945
222	55417	68837
223	55723	68658
224	56029	68480
225	56315	68275
226	56585	68052
227	56841	67811
228	57083	67552
229	57356	67331
230	57600	67076
231	57937	66928
232	58207	66700
233	58453	66447
234	58778	66281
235	59087	66098
236	59384	65899
237	59660	65676
238	59936	65453
239	60275	65298
240	60537	65059
241	60847	64870
242	61115	64636
243	61423	64444
244	61674	64192
245	61979	63995
246	62247	63760
247	62575	63585
248	62859	63364
249	63155	63155
250	63427	62921
251	63811	62798
252	64120	62600
253	64688	62650
254	64956	62408
255	65251	62192
256	65727	62147
257	66100	62001
258	66462	61843
259	66806	61667
260	67169	61507
261	67474	61293
262	67788	61086
263	68098	60876
264	68426	60680
265	68706	60441
266	69023	60234
267	69310	60000
268	69607	59774
269	69915	59557
270	70268	59378
271	70588	59169
272	70926	58975
273	71424	58911
274	71719	58679
275	72041	58468
276	72385	58274
277	72728	58078
278	73088	57894
279	73450	57711
280	73761	57486
281	74067	57258
282	74448	57086
283	74801	56891
284	75167	56705
285	75453	56457
286	75739	56210
287	76061	55990
288	76422	55796
289	76856	55654
290	77205	55449
291	77485	55195
292	77805	54968
293	78152	54759
294	78474	54533
295	78854	54345
296	79189	54126
297	79520	53902
298	79855	53681
299	80194	53463
300	80518	53233
301	80807	52979
302	81116	52739
303	81501	52547
304	81920	52375
305	82242	52140
306	82543	51892
307	82862	51654
308	83212	51435
309	83646	51266
310	83949	51017
311	84235	50757
312	84553	50516
313	84825	50247
314	85209	50043
315	85527	49800
316	85845	49557
317	86163	49313
318	86442	49047
319	86731	48786
320	87063	48549
321	87363	48294
322	87720	48069
323	88108	47861
324	88644	47731
325	89250	47636
326	89669	47439
327	90116	47256
328	90511	47044
329	91002	46879
330	91361	46646
331	91720	46412
332	92111	46193
333	92583	46014
334	92865	45739
335	93194	45487
336	93627	45285
337	94024	45064
338	94572	44914
339	94950	44682
340	95303	44437
341	95632	44181
342	95977	43931
343	96336	43687
344	96681	43436
345	96995	43171
346	97294	42899
347	97688	42668
348	98004	42403
349	98346	42148
350	98679	41889
351	98984	41618
352	99296	41350
353	99625	41088
354	99948	40824
355	100283	40564
356	100604	40298
357	100971	40050
358	101334	39800
359	101732	39562
360	102136	39326
361	102507	39077
362	103053	38893
363	103428	38643
364	103795	38390
365	104188	38145
366	104558	37891
367	104985	37657
368	105331	37394
369	105686	37132
370	106060	36878
371	106406	36613
372	106817	36369
373	107124	36090
374	107495	35831
375	107867	35573
376	108216	35306
377	108635	35062
378	109021	34806
379	109413	34551
380	109733	34273
381	110056	33996
382	110430	33734
383	110764	33460
384	111089	33182
385	111457	32917
386	111808	32647
387	112145	32371
388	112467	32092
389	113004	31872
390	113350	31599
391	113639	31308
392	113939	31021
393	114342	30762
394	114672	30482
395	115007	30204
396	115340	29924
397	115636	29635
398	116006	29365
399	116403	29100
400	116701	28811
401	117035	28531
402	117327	28240
403	117615	27948
404	117933	27663
405	118241	27376
406	118641	27109
407	118964	26825
408	119294	26542
409	119630	26260
410	120022	25990
411	120348	25705
412	120729	25432
413	121021	25139
414	121390	24863
415	121718	24577
416	122045	24292
417	122401	24011
418	122752	23730
419	123120	23451
420	123480	23171
421	123856	22892
422	124178	22604
423	124509	22317
424	124859	22033
425	125165	21742
426	125536	21461
427	125884	21176
428	126233	20891
429	126584	20606
430	126898	20315
431	127278	20034
432	127632	19749
433	127942	19456
434	128275	19167
435	128629	18881
436	128982	18594
437	129289	18301
438	129643	18014
439	130004	17727
440	130366	17441
441	130756	17158
442	131095	16867
443	131427	16576
444	131782	16287
445	132071	15990
446	132426	15701
447	132748	15408
448	133084	15116
449	133520	14835
450	133896	14547
451	134357	14268
452	134641	13969
453	134988	13677
454	135315	13382
455	135668	13090
456	136013	12797
457	136358	12504
458	136700	12210
459	137051	11917
460	137363	11620
461	137807	11334
462	138131	11038
463	138447	10741
464	138735	10442
465	139061	10146
466	139418	9851
467	139723	9553
468	140045	9256
469	140428	8963
470	140767	8667
471	141101	8370
472	141465	8075
473	141768	7776
474	142024	7474
475	142351	7177
476	142624	6877
477	142962	6579
478	143252	6280
479	143562	5981
480	143867	5682
481	144194	5384
482	144481	5085
483	144822	4787
484	145140	4488
485	145455	4190
486	145774	3891
487	146083	3592
488	146425	3293
489	146747	2994
490	147070	2695
491	147393	2396
492	147711	2097
493	148025	1797
494	148353	1498
495	148658	1198
496	148975	899
497	149253	599
498	149568	299
499	150039	0
