iter	MultiClassOneVsAll
0	0.6834342224
1	0.6742907487
2	0.6656755888
3	0.6575913122
4	0.6499642366
5	0.642641611
6	0.6357229083
7	0.6291819368
8	0.6229985811
9	0.6171485787
10	0.6115370306
11	0.6062620279
12	0.6011932597
13	0.5963888439
14	0.5918426842
15	0.5874929831
16	0.5833767984
17	0.5794718644
18	0.5757011741
19	0.5721213665
20	0.5689679594
21	0.5657236262
22	0.5626428344
23	0.5599703218
24	0.5570853838
25	0.5543976748
26	0.5517682259
27	0.5494832156
28	0.5471357084
29	0.5449047004
30	0.5427842303
31	0.5408954217
32	0.5390917369
33	0.5373275704
34	0.5356458076
35	0.5341357235
36	0.5323407131
37	0.5309499515
38	0.5292922857
39	0.5280478313
40	0.5265779689
41	0.5253137623
42	0.5241324605
43	0.5228885217
44	0.5217084123
45	0.520373093
46	0.5187788503
47	0.5172670903
48	0.5158256049
49	0.5144567434
50	0.5131557669
51	0.5119848078
52	0.5108016349
53	0.5096770719
54	0.5086061587
55	0.5075880029
56	0.5066211606
57	0.5057049293
58	0.5048746585
59	0.5040282608
60	0.5032624968
61	0.5024962527
62	0.5017289401
63	0.5010007313
64	0.5002973015
65	0.4996594132
66	0.4989719201
67	0.4983344451
68	0.4977532713
69	0.497207468
70	0.4966906813
71	0.4961768201
72	0.4955205236
73	0.4950272975
74	0.4945428376
75	0.4940622308
76	0.4936161198
77	0.4931100717
78	0.4925933859
79	0.4921414599
80	0.4916570554
81	0.4912364364
82	0.4908238389
83	0.4903942747
84	0.4899768467
85	0.4895728717
86	0.489191345
87	0.4888216017
88	0.4884427318
89	0.4880811054
90	0.4875852547
91	0.487176936
92	0.4868287254
93	0.4864959279
94	0.4861506517
95	0.4858112299
96	0.485433229
97	0.4849975647
98	0.4847188893
99	0.4843668091
100	0.4840022146
101	0.4837186907
102	0.4834095797
103	0.483092556
104	0.482790883
105	0.4824534556
106	0.48213417
107	0.4818753296
108	0.4816313265
109	0.4813667383
110	0.4810880193
111	0.4808206238
112	0.4805020481
113	0.480195787
114	0.4794929065
115	0.4792381417
116	0.4789780448
117	0.4787395634
118	0.47847735
119	0.478242037
120	0.4779354179
121	0.4776366772
122	0.4774242928
123	0.4771640829
124	0.4769142607
125	0.4767179404
126	0.4765067471
127	0.4762026461
128	0.4760164078
129	0.4758240694
130	0.4756599604
131	0.4754397952
132	0.4748103158
133	0.4745647447
134	0.474307126
135	0.4740700367
136	0.473891366
137	0.473557897
138	0.4733491172
139	0.4727640481
140	0.4724460846
141	0.4722138609
142	0.4720009332
143	0.4718206247
144	0.4712768676
145	0.4709838018
146	0.4707378869
147	0.4705772647
148	0.4704136809
149	0.4701841537
150	0.4700233085
151	0.4698124304
152	0.469583415
153	0.4694157916
154	0.4692435537
155	0.4690474838
156	0.4688663042
157	0.4686955899
158	0.4685154598
159	0.4683730777
160	0.4682115559
161	0.4679464454
162	0.4677658898
163	0.4676131021
164	0.4674857066
165	0.4672816529
166	0.4671233054
167	0.4669861321
168	0.4668572417
169	0.466722152
170	0.4665941311
171	0.4661060768
172	0.4659618379
173	0.4657516162
174	0.4655724612
175	0.4654380899
176	0.4653239502
177	0.465176654
178	0.4650490163
179	0.4648889537
180	0.464724629
181	0.4645964248
182	0.4644141894
183	0.4642969205
184	0.4641714195
185	0.4636877657
186	0.4635361069
187	0.4634340823
188	0.4632800724
189	0.4631500724
190	0.4630204886
191	0.4625787073
192	0.4623991198
193	0.462208061
194	0.4617560488
195	0.4616570644
196	0.4615290591
197	0.4612293958
198	0.4610933048
199	0.460988865
200	0.4608057073
201	0.4606854462
202	0.4605810258
203	0.4604674525
204	0.4603614129
205	0.4601854879
206	0.4600798198
207	0.4598897519
208	0.4596150485
209	0.4594890228
210	0.4593976431
211	0.459295906
212	0.4591833405
213	0.4590668711
214	0.4589795772
215	0.4588888892
216	0.4587806718
217	0.4586786662
218	0.4585778509
219	0.4584566527
220	0.458383628
221	0.4582734925
222	0.4580991644
223	0.4580130478
224	0.4579057105
225	0.4577703094
226	0.4576711044
227	0.4575254067
228	0.4571617355
229	0.457056315
230	0.4569198701
231	0.4568432932
232	0.4567391831
233	0.4566470095
234	0.4563274925
235	0.456099422
236	0.4560368694
237	0.455979892
238	0.4558445826
239	0.4557634272
240	0.4555488747
241	0.4554424671
242	0.4552397344
