y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-09-03,57,60.0
2021-09-04,70,57.0
2021-09-05,73,70.0
2021-09-06,54,73.0
2021-09-07,70,54.0
2021-09-08,72,70.0
2021-09-09,43,72.0
2021-09-10,67,43.0
2021-09-11,87,67.0
2021-09-12,65,87.0
2021-09-13,67,65.0
2021-09-14,41,67.0
2021-09-15,52,41.0
2021-09-16,43,52.0
2021-09-17,53,43.0
2021-09-18,89,53.0
2021-09-19,62,89.0
2021-09-20,28,62.0
2021-09-21,58,28.0
2021-09-22,61,58.0
2021-09-23,60,61.0
2021-09-24,48,60.0
2021-09-25,85,48.0
2021-09-26,64,85.0
2021-09-27,41,64.0
2021-09-28,44,41.0
2021-09-29,56,44.0
2021-09-30,65,56.0
2021-10-01,52,65.0
2021-10-02,69,52.0
2021-10-03,43,69.0
2021-10-04,50,43.0
2021-10-05,43,50.0
2021-10-06,50,43.0
2021-10-07,49,50.0
2021-10-08,77,49.0
2021-10-09,87,77.0
2021-10-10,62,87.0
2021-10-11,45,62.0
2021-10-12,53,45.0
2021-10-13,60,53.0
2021-10-14,60,60.0
2021-10-15,60,60.0
2021-10-16,68,60.0
2021-10-17,60,68.0
2021-10-18,51,60.0
2021-10-19,52,51.0
2021-10-20,47,52.0
2021-10-21,54,47.0
2021-10-22,80,54.0
2021-10-23,68,80.0
2021-10-24,66,68.0
2021-10-25,48,66.0
2021-10-26,40,48.0
2021-10-27,50,40.0
2021-10-28,56,50.0
2021-10-29,58,56.0
2021-10-30,35,58.0
2021-10-31,48,35.0
2021-11-01,31,48.0
2021-11-02,52,31.0
2021-11-03,42,52.0
2021-11-04,34,42.0
2021-11-05,65,34.0
2021-11-06,55,65.0
2021-11-07,49,55.0
2021-11-08,43,49.0
2021-11-09,45,43.0
2021-11-10,47,45.0
2021-11-11,37,47.0
2021-11-12,50,37.0
2021-11-13,54,50.0
2021-11-14,53,54.0
2021-11-15,43,53.0
2021-11-16,38,43.0
2021-11-17,36,38.0
2021-11-18,40,36.0
2021-11-19,51,40.0
2021-11-20,39,51.0
2021-11-21,41,39.0
2021-11-22,29,41.0
2021-11-23,49,29.0
2021-11-24,50,49.0
2021-11-25,42,50.0
2021-11-26,47,42.0
2021-11-27,54,47.0
2021-11-28,43,54.0
2021-11-29,32,43.0
2021-11-30,47,32.0
2021-12-01,41,47.0
2021-12-02,32,41.0
2021-12-03,52,32.0
2021-12-04,75,52.0
2021-12-05,44,75.0
2021-12-06,40,44.0
2021-12-07,44,40.0
2021-12-08,42,44.0
2021-12-09,66,42.0
2021-12-10,52,66.0
2021-12-11,54,52.0
2021-12-12,41,54.0
2021-12-13,51,41.0
2021-12-14,30,51.0
2021-12-15,46,30.0
2021-12-16,45,46.0
2021-12-17,56,45.0
2021-12-18,45,56.0
2021-12-19,38,45.0
2021-12-20,34,38.0
2021-12-21,52,34.0
2021-12-22,45,52.0
2021-12-23,53,45.0
2021-12-24,25,53.0
2021-12-25,52,25.0
2021-12-26,29,52.0
2021-12-27,24,29.0
2021-12-28,39,24.0
2021-12-29,22,39.0
2021-12-30,50,22.0
2021-12-31,29,50.0
2022-01-01,39,29.0
2022-01-02,35,39.0
2022-01-03,31,35.0
2022-01-04,29,31.0
2022-01-05,23,29.0
2022-01-06,42,23.0
2022-01-07,43,42.0
2022-01-08,44,43.0
2022-01-09,28,44.0
2022-01-10,40,28.0
2022-01-11,34,40.0
2022-01-12,43,34.0
2022-01-13,39,43.0
2022-01-14,48,39.0
2022-01-15,53,48.0
2022-01-16,39,53.0
2022-01-17,48,39.0
2022-01-18,37,48.0
2022-01-19,29,37.0
2022-01-20,38,29.0
2022-01-21,55,38.0
2022-01-22,58,55.0
2022-01-23,39,58.0
2022-01-24,32,39.0
2022-01-25,31,32.0
2022-01-26,41,31.0
2022-01-27,35,41.0
2022-01-28,42,35.0
2022-01-29,37,42.0
2022-01-30,39,37.0
2022-01-31,31,39.0
2022-02-01,29,31.0
2022-02-02,30,29.0
2022-02-03,40,30.0
2022-02-04,65,40.0
2022-02-05,59,65.0
2022-02-06,37,59.0
2022-02-07,36,37.0
2022-02-08,27,36.0
2022-02-09,46,27.0
2022-02-10,40,46.0
2022-02-11,52,40.0
2022-02-12,53,52.0
2022-02-13,32,53.0
2022-02-14,46,32.0
2022-02-15,29,46.0
2022-02-16,30,29.0
2022-02-17,34,30.0
2022-02-18,44,34.0
2022-02-19,56,44.0
2022-02-20,37,56.0
2022-02-21,32,37.0
2022-02-22,38,32.0
2022-02-23,61,38.0
2022-02-24,38,61.0
2022-02-25,45,38.0
2022-02-26,59,45.0
2022-02-27,46,59.0
2022-02-28,37,46.0
2022-03-01,26,37.0
2022-03-02,28,26.0
2022-03-03,38,28.0
2022-03-04,42,38.0
2022-03-05,52,42.0
2022-03-06,53,52.0
2022-03-07,30,53.0
2022-03-08,37,30.0
2022-03-09,35,37.0
2022-03-10,26,35.0
2022-03-11,50,26.0
2022-03-12,45,50.0
2022-03-13,36,45.0
2022-03-14,33,36.0
2022-03-15,36,33.0
2022-03-16,33,36.0
2022-03-17,28,33.0
2022-03-18,50,28.0
2022-03-19,64,50.0
2022-03-20,42,64.0
2022-03-21,36,42.0
2022-03-22,35,36.0
2022-03-23,37,35.0
2022-03-24,39,37.0
2022-03-25,50,39.0
2022-03-26,71,50.0
2022-03-27,59,71.0
2022-03-28,25,59.0
2022-03-29,34,25.0
2022-03-30,31,34.0
2022-03-31,31,31.0
2022-04-01,38,31.0
2022-04-02,41,38.0
2022-04-03,33,41.0
2022-04-04,37,33.0
2022-04-05,21,37.0
2022-04-06,34,21.0
2022-04-07,37,34.0
2022-04-08,39,37.0
2022-04-09,46,39.0
2022-04-10,51,46.0
2022-04-11,33,51.0
2022-04-12,48,33.0
2022-04-13,33,48.0
2022-04-14,48,33.0
2022-04-15,65,48.0
2022-04-16,74,65.0
2022-04-17,56,74.0
2022-04-18,44,56.0
2022-04-19,41,44.0
2022-04-20,44,41.0
2022-04-21,36,44.0
2022-04-22,46,36.0
2022-04-23,40,46.0
2022-04-24,33,40.0
2022-04-25,37,33.0
2022-04-26,49,37.0
2022-04-27,58,49.0
2022-04-28,62,58.0
2022-04-29,57,62.0
2022-04-30,58,57.0
2022-05-01,67,58.0
2022-05-02,42,67.0
2022-05-03,37,42.0
2022-05-04,55,37.0
2022-05-05,45,55.0
2022-05-06,53,45.0
2022-05-07,78,53.0
2022-05-08,54,78.0
2022-05-09,46,54.0
2022-05-10,51,46.0
2022-05-11,56,51.0
2022-05-12,38,56.0
2022-05-13,72,38.0
2022-05-14,77,72.0
2022-05-15,87,77.0
2022-05-16,51,87.0
2022-05-17,60,51.0
2022-05-18,50,60.0
2022-05-19,59,50.0
2022-05-20,59,59.0
2022-05-21,71,59.0
2022-05-22,68,71.0
2022-05-23,47,68.0
2022-05-24,46,47.0
2022-05-25,43,46.0
2022-05-26,49,43.0
2022-05-27,86,49.0
2022-05-28,79,86.0
2022-05-29,66,79.0
2022-05-30,52,66.0
2022-05-31,41,52.0
2022-06-01,43,41.0
2022-06-02,54,43.0
