y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-02,4,6.0
2021-01-03,5,4.0
2021-01-04,4,5.0
2021-01-05,2,4.0
2021-01-06,5,2.0
2021-01-07,8,5.0
2021-01-08,8,8.0
2021-01-09,7,8.0
2021-01-10,6,7.0
2021-01-11,10,6.0
2021-01-12,7,10.0
2021-01-13,8,7.0
2021-01-14,7,8.0
2021-01-15,6,7.0
2021-01-16,7,6.0
2021-01-17,4,7.0
2021-01-18,4,4.0
2021-01-19,7,4.0
2021-01-20,4,7.0
2021-01-21,4,4.0
2021-01-22,9,4.0
2021-01-23,7,9.0
2021-01-24,8,7.0
2021-01-25,6,8.0
2021-01-26,6,6.0
2021-01-27,8,6.0
2021-01-28,4,8.0
2021-01-29,5,4.0
2021-01-30,7,5.0
2021-01-31,5,7.0
2021-02-01,5,5.0
2021-02-02,4,5.0
2021-02-03,11,4.0
2021-02-04,6,11.0
2021-02-05,2,6.0
2021-02-06,6,2.0
2021-02-07,4,6.0
2021-02-08,3,4.0
2021-02-09,7,3.0
2021-02-10,7,7.0
2021-02-11,7,7.0
2021-02-12,3,7.0
2021-02-13,9,3.0
2021-02-14,8,9.0
2021-02-15,3,8.0
2021-02-16,11,3.0
2021-02-17,7,11.0
2021-02-18,3,7.0
2021-02-19,17,3.0
2021-02-20,9,17.0
2021-02-21,6,9.0
2021-02-22,4,6.0
2021-02-23,6,4.0
2021-02-24,4,6.0
2021-02-25,6,4.0
2021-02-26,7,6.0
2021-02-27,7,7.0
2021-02-28,8,7.0
2021-03-01,4,8.0
2021-03-02,1,4.0
2021-03-03,3,1.0
2021-03-04,3,3.0
2021-03-05,4,3.0
2021-03-06,12,4.0
2021-03-07,8,12.0
2021-03-08,7,8.0
2021-03-09,6,7.0
2021-03-10,5,6.0
2021-03-11,4,5.0
2021-03-12,11,4.0
2021-03-13,6,11.0
2021-03-14,9,6.0
2021-03-15,4,9.0
2021-03-16,5,4.0
2021-03-17,3,5.0
2021-03-18,6,3.0
2021-03-19,8,6.0
2021-03-20,9,8.0
2021-03-21,5,9.0
2021-03-22,4,5.0
2021-03-23,9,4.0
2021-03-24,4,9.0
2021-03-25,6,4.0
2021-03-26,8,6.0
2021-03-27,13,8.0
2021-03-28,7,13.0
2021-03-29,3,7.0
2021-03-30,5,3.0
2021-03-31,5,5.0
2021-04-01,9,5.0
2021-04-02,10,9.0
2021-04-03,11,10.0
2021-04-04,5,11.0
2021-04-05,5,5.0
2021-04-06,2,5.0
2021-04-07,7,2.0
2021-04-08,4,7.0
2021-04-09,6,4.0
2021-04-10,4,6.0
2021-04-11,7,4.0
2021-04-12,7,7.0
2021-04-13,4,7.0
2021-04-14,11,4.0
2021-04-15,9,11.0
2021-04-16,10,9.0
2021-04-17,6,10.0
2021-04-18,8,6.0
2021-04-19,2,8.0
2021-04-20,9,2.0
2021-04-21,6,9.0
2021-04-22,10,6.0
2021-04-23,11,10.0
2021-04-24,14,11.0
2021-04-25,13,14.0
2021-04-26,4,13.0
2021-04-27,4,4.0
2021-04-28,5,4.0
2021-04-29,5,5.0
2021-04-30,7,5.0
2021-05-01,6,7.0
2021-05-02,4,6.0
2021-05-03,2,4.0
2021-05-04,6,2.0
2021-05-05,6,6.0
2021-05-06,7,6.0
2021-05-07,11,7.0
2021-05-08,12,11.0
2021-05-09,7,12.0
2021-05-10,12,7.0
2021-05-11,6,12.0
2021-05-12,4,6.0
2021-05-13,8,4.0
2021-05-14,7,8.0
2021-05-15,4,7.0
2021-05-16,8,4.0
2021-05-17,5,8.0
2021-05-18,3,5.0
2021-05-19,7,3.0
2021-05-20,8,7.0
2021-05-21,7,8.0
2021-05-22,5,7.0
2021-05-23,9,5.0
2021-05-24,6,9.0
2021-05-25,4,6.0
2021-05-26,8,4.0
2021-05-27,9,8.0
2021-05-28,6,9.0
2021-05-29,6,6.0
2021-05-30,11,6.0
2021-05-31,7,11.0
2021-06-01,7,7.0
2021-06-02,10,7.0
2021-06-03,7,10.0
2021-06-04,13,7.0
2021-06-05,9,13.0
2021-06-06,10,9.0
2021-06-07,9,10.0
2021-06-08,9,9.0
2021-06-09,13,9.0
2021-06-10,13,13.0
2021-06-11,13,13.0
2021-06-12,18,13.0
2021-06-13,9,18.0
2021-06-14,9,9.0
2021-06-15,10,9.0
2021-06-16,13,10.0
2021-06-17,7,13.0
2021-06-18,12,7.0
2021-06-19,14,12.0
2021-06-20,9,14.0
2021-06-21,13,9.0
2021-06-22,4,13.0
2021-06-23,4,4.0
2021-06-24,7,4.0
2021-06-25,5,7.0
2021-06-26,11,5.0
2021-06-27,10,11.0
2021-06-28,5,10.0
2021-06-29,8,5.0
2021-06-30,6,8.0
2021-07-01,18,6.0
2021-07-02,16,18.0
2021-07-03,13,16.0
2021-07-04,5,13.0
2021-07-05,8,5.0
2021-07-06,7,8.0
2021-07-07,13,7.0
2021-07-08,15,13.0
2021-07-09,10,15.0
2021-07-10,11,10.0
2021-07-11,17,11.0
2021-07-12,8,17.0
2021-07-13,3,8.0
2021-07-14,8,3.0
2021-07-15,14,8.0
2021-07-16,12,14.0
2021-07-17,11,12.0
2021-07-18,14,11.0
2021-07-19,9,14.0
2021-07-20,6,9.0
2021-07-21,10,6.0
