y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-09-03,167,145.0
2021-09-04,144,167.0
2021-09-05,144,144.0
2021-09-06,167,144.0
2021-09-07,193,167.0
2021-09-08,185,193.0
2021-09-09,123,185.0
2021-09-10,176,123.0
2021-09-11,149,176.0
2021-09-12,133,149.0
2021-09-13,166,133.0
2021-09-14,159,166.0
2021-09-15,162,159.0
2021-09-16,121,162.0
2021-09-17,184,121.0
2021-09-18,181,184.0
2021-09-19,111,181.0
2021-09-20,143,111.0
2021-09-21,173,143.0
2021-09-22,192,173.0
2021-09-23,186,192.0
2021-09-24,180,186.0
2021-09-25,170,180.0
2021-09-26,120,170.0
2021-09-27,178,120.0
2021-09-28,162,178.0
2021-09-29,160,162.0
2021-09-30,192,160.0
2021-10-01,191,192.0
2021-10-02,160,191.0
2021-10-03,106,160.0
2021-10-04,134,106.0
2021-10-05,155,134.0
2021-10-06,181,155.0
2021-10-07,154,181.0
2021-10-08,196,154.0
2021-10-09,211,196.0
2021-10-10,122,211.0
2021-10-11,138,122.0
2021-10-12,175,138.0
2021-10-13,185,175.0
2021-10-14,192,185.0
2021-10-15,154,192.0
2021-10-16,204,154.0
2021-10-17,154,204.0
2021-10-18,160,154.0
2021-10-19,186,160.0
2021-10-20,141,186.0
2021-10-21,154,141.0
2021-10-22,225,154.0
2021-10-23,160,225.0
2021-10-24,143,160.0
2021-10-25,137,143.0
2021-10-26,109,137.0
2021-10-27,158,109.0
2021-10-28,173,158.0
2021-10-29,164,173.0
2021-10-30,131,164.0
2021-10-31,151,131.0
2021-11-01,100,151.0
2021-11-02,138,100.0
2021-11-03,149,138.0
2021-11-04,119,149.0
2021-11-05,163,119.0
2021-11-06,126,163.0
2021-11-07,86,126.0
2021-11-08,158,86.0
2021-11-09,121,158.0
2021-11-10,156,121.0
2021-11-11,88,156.0
2021-11-12,129,88.0
2021-11-13,136,129.0
2021-11-14,102,136.0
2021-11-15,149,102.0
2021-11-16,152,149.0
2021-11-17,140,152.0
2021-11-18,149,140.0
2021-11-19,197,149.0
2021-11-20,124,197.0
2021-11-21,86,124.0
2021-11-22,127,86.0
2021-11-23,137,127.0
2021-11-24,148,137.0
2021-11-25,136,148.0
2021-11-26,180,136.0
2021-11-27,140,180.0
2021-11-28,79,140.0
2021-11-29,149,79.0
2021-11-30,154,149.0
2021-12-01,148,154.0
2021-12-02,158,148.0
2021-12-03,192,158.0
2021-12-04,164,192.0
2021-12-05,124,164.0
2021-12-06,138,124.0
2021-12-07,149,138.0
2021-12-08,154,149.0
2021-12-09,179,154.0
2021-12-10,155,179.0
2021-12-11,145,155.0
2021-12-12,89,145.0
2021-12-13,157,89.0
2021-12-14,142,157.0
2021-12-15,130,142.0
2021-12-16,136,130.0
2021-12-17,165,136.0
2021-12-18,139,165.0
2021-12-19,107,139.0
2021-12-20,98,107.0
2021-12-21,138,98.0
2021-12-22,135,138.0
2021-12-23,139,135.0
2021-12-24,89,139.0
2021-12-25,79,89.0
2021-12-26,97,79.0
2021-12-27,84,97.0
2021-12-28,106,84.0
2021-12-29,86,106.0
2021-12-30,108,86.0
2021-12-31,108,108.0
2022-01-01,79,108.0
2022-01-02,61,79.0
2022-01-03,105,61.0
2022-01-04,115,105.0
2022-01-05,93,115.0
2022-01-06,111,93.0
2022-01-07,135,111.0
2022-01-08,85,135.0
2022-01-09,85,85.0
2022-01-10,108,85.0
2022-01-11,109,108.0
2022-01-12,135,109.0
2022-01-13,121,135.0
2022-01-14,141,121.0
2022-01-15,112,141.0
2022-01-16,72,112.0
2022-01-17,112,72.0
2022-01-18,103,112.0
2022-01-19,100,103.0
2022-01-20,92,100.0
2022-01-21,144,92.0
2022-01-22,109,144.0
2022-01-23,79,109.0
2022-01-24,122,79.0
2022-01-25,105,122.0
2022-01-26,93,105.0
2022-01-27,100,93.0
2022-01-28,124,100.0
2022-01-29,134,124.0
2022-01-30,105,134.0
2022-01-31,105,105.0
2022-02-01,124,105.0
2022-02-02,108,124.0
2022-02-03,114,108.0
2022-02-04,169,114.0
2022-02-05,164,169.0
2022-02-06,83,164.0
2022-02-07,114,83.0
2022-02-08,108,114.0
2022-02-09,137,108.0
2022-02-10,118,137.0
2022-02-11,160,118.0
2022-02-12,135,160.0
2022-02-13,74,135.0
2022-02-14,112,74.0
2022-02-15,110,112.0
2022-02-16,98,110.0
2022-02-17,100,98.0
2022-02-18,134,100.0
2022-02-19,124,134.0
2022-02-20,88,124.0
2022-02-21,107,88.0
2022-02-22,119,107.0
2022-02-23,115,119.0
2022-02-24,88,115.0
2022-02-25,141,88.0
2022-02-26,195,141.0
