y_m_j,Nbre_Acc
2021-12-20,98
2021-12-21,138
2021-12-22,135
2021-12-23,139
2021-12-24,89
2021-12-25,79
2021-12-26,97
2021-12-27,84
2021-12-28,106
2021-12-29,86
2021-12-30,108
2021-12-31,108
2022-01-01,79
2022-01-02,61
2022-01-03,105
2022-01-04,115
2022-01-05,93
2022-01-06,111
2022-01-07,135
2022-01-08,85
2022-01-09,85
2022-01-10,108
2022-01-11,109
2022-01-12,135
2022-01-13,121
2022-01-14,141
2022-01-15,112
2022-01-16,72
2022-01-17,112
2022-01-18,103
2022-01-19,100
2022-01-20,92
2022-01-21,144
2022-01-22,109
2022-01-23,79
2022-01-24,122
2022-01-25,105
2022-01-26,93
2022-01-27,100
2022-01-28,124
2022-01-29,134
2022-01-30,105
2022-01-31,105
2022-02-01,124
2022-02-02,108
2022-02-03,114
2022-02-04,169
2022-02-05,164
2022-02-06,83
2022-02-07,114
2022-02-08,108
2022-02-09,137
2022-02-10,118
2022-02-11,160
2022-02-12,135
2022-02-13,74
2022-02-14,112
2022-02-15,110
2022-02-16,98
2022-02-17,100
2022-02-18,134
2022-02-19,124
2022-02-20,88
2022-02-21,107
2022-02-22,119
2022-02-23,115
2022-02-24,88
2022-02-25,141
2022-02-26,195
2022-02-27,102
2022-02-28,106
2022-03-01,108
2022-03-02,97
2022-03-03,147
2022-03-04,150
2022-03-05,124
2022-03-06,107
2022-03-07,101
2022-03-08,129
2022-03-09,118
2022-03-10,117
2022-03-11,153
2022-03-12,143
2022-03-13,97
2022-03-14,122
2022-03-15,106
2022-03-16,108
2022-03-17,116
2022-03-18,147
2022-03-19,139
2022-03-20,105
2022-03-21,134
2022-03-22,110
2022-03-23,136
2022-03-24,137
2022-03-25,185
2022-03-26,135
2022-03-27,97
2022-03-28,93
2022-03-29,92
2022-03-30,114
2022-03-31,117
2022-04-01,119
2022-04-02,106
2022-04-03,64
2022-04-04,92
2022-04-05,145
2022-04-06,105
2022-04-07,118
2022-04-08,137
2022-04-09,124
2022-04-10,136
2022-04-11,133
2022-04-12,111
2022-04-13,136
2022-04-14,134
2022-04-15,174
2022-04-16,180
2022-04-17,128
2022-04-18,94
2022-04-19,111
2022-04-20,137
2022-04-21,127
2022-04-22,145
2022-04-23,84
2022-04-24,84
2022-04-25,143
2022-04-26,128
2022-04-27,139
2022-04-28,147
2022-04-29,154
2022-04-30,145
2022-05-01,114
2022-05-02,117
2022-05-03,119
2022-05-04,128
2022-05-05,109
2022-05-06,179
2022-05-07,143
2022-05-08,148
2022-05-09,153
2022-05-10,161
2022-05-11,187
2022-05-12,130
2022-05-13,186
2022-05-14,155
2022-05-15,117
2022-05-16,129
2022-05-17,185
2022-05-18,155
2022-05-19,149
2022-05-20,197
2022-05-21,171
2022-05-22,132
2022-05-23,149
2022-05-24,138
2022-05-25,138
2022-05-26,110
2022-05-27,130
2022-05-28,124
2022-05-29,137
2022-05-30,133
2022-05-31,125
2022-06-01,170
2022-06-02,150
2022-06-03,186
2022-06-04,208
2022-06-05,91
2022-06-06,93
2022-06-07,140
2022-06-08,129
2022-06-09,159
2022-06-10,156
2022-06-11,155
2022-06-12,132
2022-06-13,169
2022-06-14,178
2022-06-15,166
2022-06-16,174
2022-06-17,176
2022-06-18,143
2022-06-19,163
2022-06-20,141
2022-06-21,155
2022-06-22,162
2022-06-23,134
2022-06-24,166
2022-06-25,130
2022-06-26,147
2022-06-27,138
2022-06-28,140
2022-06-29,163
2022-06-30,125
2022-07-01,205
2022-07-02,146
2022-07-03,120
2022-07-04,177
2022-07-05,176
2022-07-06,135
2022-07-07,151
2022-07-08,189
2022-07-09,157
2022-07-10,145
2022-07-11,141
2022-07-12,157
2022-07-13,146
2022-07-14,114
2022-07-15,115
2022-07-16,136
2022-07-17,121
2022-07-18,97
2022-07-19,122
2022-07-20,133
2022-07-21,153
2022-07-22,100
2022-07-23,134
2022-07-24,109
2022-07-25,97
2022-07-26,116
2022-07-27,123
2022-07-28,136
2022-07-29,127
2022-07-30,131
2022-07-31,103
2022-08-01,110
2022-08-02,150
2022-08-03,126
2022-08-04,99
2022-08-05,130
2022-08-06,126
2022-08-07,158
2022-08-08,122
2022-08-09,89
2022-08-10,119
2022-08-11,95
2022-08-12,111
2022-08-13,124
2022-08-14,94
2022-08-15,61
2022-08-16,107
2022-08-17,70
2022-08-18,95
2022-08-19,83
2022-08-20,137
2022-08-21,71
2022-08-22,90
2022-08-23,107
2022-08-24,148
2022-08-25,123
2022-08-26,126
2022-08-27,94
2022-08-28,88
2022-08-29,145
2022-08-30,132
2022-08-31,127
2022-09-01,145
2022-09-02,155
2022-09-03,135
2022-09-04,105
2022-09-05,136
2022-09-06,138
2022-09-07,137
2022-09-08,111
2022-09-09,148
2022-09-10,124
2022-09-11,139
2022-09-12,148
2022-09-13,113
2022-09-14,129
2022-09-15,129
2022-09-16,148
2022-09-17,140
2022-09-18,144
2022-09-19,162
2022-09-20,166
2022-09-21,185
2022-09-22,164
2022-09-23,142
2022-09-24,151
2022-09-25,120
2022-09-26,130
2022-09-27,135
2022-09-28,137
2022-09-29,135
2022-09-30,140
2022-10-01,174
2022-10-02,124
2022-10-03,146
2022-10-04,136
2022-10-05,135
2022-10-06,156
2022-10-07,184
2022-10-08,159
2022-10-09,110
2022-10-10,111
2022-10-11,162
2022-10-12,120
2022-10-13,136
2022-10-14,172
2022-10-15,153
2022-10-16,94
2022-10-17,120
2022-10-18,127
2022-10-19,129
2022-10-20,152
2022-10-21,182
2022-10-22,114
2022-10-23,108
2022-10-24,122
2022-10-25,143
2022-10-26,142
2022-10-27,116
2022-10-28,132
2022-10-29,166
2022-10-30,111
2022-10-31,110
2022-11-01,102
2022-11-02,138
2022-11-03,116
2022-11-04,116
2022-11-05,117
2022-11-06,121
2022-11-07,153
2022-11-08,138
2022-11-09,153
2022-11-10,158
2022-11-11,87
2022-11-12,127
2022-11-13,102
2022-11-14,135
2022-11-15,148
2022-11-16,178
2022-11-17,129
2022-11-18,145
2022-11-19,107
2022-11-20,125
2022-11-21,147
2022-11-22,139
2022-11-23,120
2022-11-24,155
2022-11-25,182
2022-11-26,121
2022-11-27,80
2022-11-28,117
2022-11-29,130
2022-11-30,118
2022-12-01,107
2022-12-02,141
2022-12-03,130
2022-12-04,102
2022-12-05,184
2022-12-06,109
2022-12-07,132
2022-12-08,132
2022-12-09,142
2022-12-10,142
2022-12-11,115
2022-12-12,144
2022-12-13,119
2022-12-14,134
2022-12-15,124
2022-12-16,181
2022-12-17,122
2022-12-18,99
2022-12-19,98
2022-12-20,114
2022-12-21,128
2022-12-22,105
2022-12-23,168
2022-12-24,87
2022-12-25,59
2022-12-26,83
2022-12-27,99
2022-12-28,85
2022-12-29,81
2022-12-30,109
2022-12-31,93
