y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-09-03,174,128.0
2021-09-04,152,174.0
2021-09-05,146,152.0
2021-09-06,154,146.0
2021-09-07,176,154.0
2021-09-08,166,176.0
2021-09-09,142,166.0
2021-09-10,170,142.0
2021-09-11,147,170.0
2021-09-12,156,147.0
2021-09-13,150,156.0
2021-09-14,166,150.0
2021-09-15,153,166.0
2021-09-16,128,153.0
2021-09-17,174,128.0
2021-09-18,180,174.0
2021-09-19,98,180.0
2021-09-20,144,98.0
2021-09-21,166,144.0
2021-09-22,164,166.0
2021-09-23,207,164.0
2021-09-24,184,207.0
2021-09-25,171,184.0
2021-09-26,141,171.0
2021-09-27,144,141.0
2021-09-28,165,144.0
2021-09-29,156,165.0
2021-09-30,169,156.0
2021-10-01,185,169.0
2021-10-02,177,185.0
2021-10-03,130,177.0
2021-10-04,133,130.0
2021-10-05,175,133.0
2021-10-06,170,175.0
2021-10-07,141,170.0
2021-10-08,159,141.0
2021-10-09,213,159.0
2021-10-10,149,213.0
2021-10-11,120,149.0
2021-10-12,181,120.0
2021-10-13,165,181.0
2021-10-14,169,165.0
2021-10-15,161,169.0
2021-10-16,214,161.0
2021-10-17,141,214.0
2021-10-18,141,141.0
2021-10-19,178,141.0
2021-10-20,137,178.0
2021-10-21,158,137.0
2021-10-22,212,158.0
2021-10-23,137,212.0
2021-10-24,135,137.0
2021-10-25,123,135.0
2021-10-26,126,123.0
2021-10-27,140,126.0
2021-10-28,186,140.0
2021-10-29,184,186.0
2021-10-30,135,184.0
2021-10-31,136,135.0
2021-11-01,105,136.0
2021-11-02,124,105.0
2021-11-03,144,124.0
2021-11-04,142,144.0
2021-11-05,149,142.0
2021-11-06,113,149.0
2021-11-07,126,113.0
2021-11-08,138,126.0
2021-11-09,129,138.0
2021-11-10,145,129.0
2021-11-11,107,145.0
2021-11-12,124,107.0
2021-11-13,143,124.0
2021-11-14,108,143.0
2021-11-15,149,108.0
2021-11-16,155,149.0
2021-11-17,156,155.0
2021-11-18,146,156.0
2021-11-19,152,146.0
2021-11-20,110,152.0
2021-11-21,105,110.0
2021-11-22,132,105.0
2021-11-23,124,132.0
2021-11-24,124,124.0
2021-11-25,150,124.0
2021-11-26,167,150.0
2021-11-27,142,167.0
2021-11-28,99,142.0
2021-11-29,154,99.0
2021-11-30,131,154.0
2021-12-01,139,131.0
2021-12-02,142,139.0
2021-12-03,188,142.0
2021-12-04,156,188.0
2021-12-05,160,156.0
2021-12-06,146,160.0
2021-12-07,143,146.0
2021-12-08,141,143.0
2021-12-09,181,141.0
2021-12-10,165,181.0
2021-12-11,160,165.0
2021-12-12,95,160.0
2021-12-13,136,95.0
2021-12-14,133,136.0
2021-12-15,124,133.0
2021-12-16,124,124.0
2021-12-17,171,124.0
2021-12-18,127,171.0
2021-12-19,110,127.0
2021-12-20,87,110.0
2021-12-21,122,87.0
2021-12-22,122,122.0
2021-12-23,120,122.0
2021-12-24,88,120.0
2021-12-25,79,88.0
2021-12-26,99,79.0
2021-12-27,111,99.0
2021-12-28,116,111.0
2021-12-29,83,116.0
2021-12-30,101,83.0
2021-12-31,113,101.0
2022-01-01,102,113.0
2022-01-02,62,102.0
2022-01-03,111,62.0
2022-01-04,96,111.0
2022-01-05,96,96.0
2022-01-06,102,96.0
2022-01-07,108,102.0
2022-01-08,97,108.0
2022-01-09,84,97.0
2022-01-10,111,84.0
2022-01-11,114,111.0
2022-01-12,115,114.0
2022-01-13,127,115.0
2022-01-14,140,127.0
2022-01-15,116,140.0
2022-01-16,80,116.0
2022-01-17,101,80.0
2022-01-18,94,101.0
2022-01-19,101,94.0
2022-01-20,94,101.0
2022-01-21,128,94.0
2022-01-22,103,128.0
2022-01-23,93,103.0
2022-01-24,114,93.0
2022-01-25,107,114.0
2022-01-26,105,107.0
2022-01-27,103,105.0
2022-01-28,122,103.0
2022-01-29,147,122.0
2022-01-30,114,147.0
2022-01-31,106,114.0
2022-02-01,117,106.0
2022-02-02,115,117.0
2022-02-03,115,115.0
2022-02-04,149,115.0
2022-02-05,153,149.0
2022-02-06,114,153.0
2022-02-07,115,114.0
2022-02-08,128,115.0
2022-02-09,123,128.0
2022-02-10,114,123.0
2022-02-11,171,114.0
2022-02-12,146,171.0
2022-02-13,77,146.0
2022-02-14,109,77.0
2022-02-15,119,109.0
2022-02-16,104,119.0
2022-02-17,112,104.0
2022-02-18,118,112.0
2022-02-19,123,118.0
2022-02-20,86,123.0
2022-02-21,94,86.0
2022-02-22,121,94.0
2022-02-23,87,121.0
2022-02-24,74,87.0
2022-02-25,153,74.0
2022-02-26,142,153.0
2022-02-27,91,142.0
2022-02-28,119,91.0
2022-03-01,95,119.0
2022-03-02,111,95.0
2022-03-03,119,111.0
2022-03-04,145,119.0
2022-03-05,109,145.0
2022-03-06,119,109.0
2022-03-07,100,119.0
2022-03-08,117,100.0
2022-03-09,126,117.0
2022-03-10,123,126.0
2022-03-11,145,123.0
2022-03-12,138,145.0
2022-03-13,99,138.0
2022-03-14,134,99.0
2022-03-15,123,134.0
2022-03-16,109,123.0
2022-03-17,123,109.0
2022-03-18,137,123.0
2022-03-19,109,137.0
2022-03-20,100,109.0
2022-03-21,121,100.0
2022-03-22,118,121.0
2022-03-23,151,118.0
2022-03-24,119,151.0
2022-03-25,174,119.0
2022-03-26,159,174.0
2022-03-27,133,159.0
2022-03-28,94,133.0
2022-03-29,112,94.0
2022-03-30,111,112.0
2022-03-31,126,111.0
2022-04-01,121,126.0
2022-04-02,101,121.0
2022-04-03,83,101.0
2022-04-04,84,83.0
2022-04-05,121,84.0
2022-04-06,124,121.0
2022-04-07,104,124.0
2022-04-08,143,104.0
2022-04-09,108,143.0
2022-04-10,122,108.0
2022-04-11,129,122.0
2022-04-12,108,129.0
2022-04-13,129,108.0
2022-04-14,137,129.0
2022-04-15,124,137.0
2022-04-16,162,124.0
2022-04-17,138,162.0
2022-04-18,96,138.0
2022-04-19,126,96.0
2022-04-20,128,126.0
2022-04-21,126,128.0
2022-04-22,144,126.0
2022-04-23,102,144.0
2022-04-24,69,102.0
2022-04-25,132,69.0
2022-04-26,126,132.0
2022-04-27,123,126.0
2022-04-28,120,123.0
2022-04-29,152,120.0
2022-04-30,138,152.0
2022-05-01,122,138.0
2022-05-02,99,122.0
2022-05-03,116,99.0
2022-05-04,109,116.0
2022-05-05,125,109.0
2022-05-06,165,125.0
2022-05-07,146,165.0
2022-05-08,145,146.0
2022-05-09,136,145.0
2022-05-10,152,136.0
2022-05-11,190,152.0
2022-05-12,135,190.0
2022-05-13,170,135.0
2022-05-14,151,170.0
2022-05-15,144,151.0
2022-05-16,131,144.0
2022-05-17,183,131.0
2022-05-18,161,183.0
2022-05-19,116,161.0
2022-05-20,169,116.0
2022-05-21,185,169.0
2022-05-22,132,185.0
