iter	MultiClassOneVsAll
0	0.6834071034
1	0.6742380635
2	0.6655987129
3	0.6574731209
4	0.6497427035
5	0.6424426452
6	0.6355445089
7	0.6290222716
8	0.6227675661
9	0.6168502974
10	0.6112586755
11	0.605961909
12	0.6008724427
13	0.5960498214
14	0.5914826612
15	0.5871183113
16	0.5829789083
17	0.57905175
18	0.5752722112
19	0.5717099786
20	0.5683281343
21	0.5653485608
22	0.5621999256
23	0.5592083092
24	0.5563654089
25	0.5539248343
26	0.5513345131
27	0.5488312595
28	0.5464714406
29	0.5445302271
30	0.5423600317
31	0.5404473218
32	0.53846595
33	0.5365021089
34	0.5348480708
35	0.5331084153
36	0.5316851813
37	0.5300038568
38	0.5286279522
39	0.5272820265
40	0.5260419328
41	0.5245711008
42	0.5230839473
43	0.5215596431
44	0.5201157735
45	0.5186030416
46	0.5171651442
47	0.515920536
48	0.5146154284
49	0.5133731527
50	0.5121988272
51	0.5111823804
52	0.5102192568
53	0.5091926842
54	0.5085396139
55	0.5076427982
56	0.5067080246
57	0.5058168443
58	0.5049704734
59	0.5041811226
60	0.5034328156
61	0.5026795974
62	0.5019052715
63	0.5012112711
64	0.5004950906
65	0.4998863487
66	0.4992969278
67	0.4987865444
68	0.4981972801
69	0.4976191917
70	0.4970810284
71	0.4965259139
72	0.4958592029
73	0.4953612159
74	0.4948537689
75	0.4943901198
76	0.4939237828
77	0.4933849933
78	0.4929126866
79	0.4924606506
80	0.4920400925
81	0.4915392467
82	0.4911488406
83	0.4907631736
84	0.4902988179
85	0.4899198984
86	0.4894644133
87	0.4890674084
88	0.4886484424
89	0.4881603163
90	0.4877888968
91	0.4874676263
92	0.4871140939
93	0.4867502675
94	0.486435146
95	0.4861159037
96	0.4857290099
97	0.4854001869
98	0.4851047701
99	0.4847740133
100	0.4844266845
101	0.4840180493
102	0.4836676844
103	0.4833967072
104	0.4831598644
105	0.4828209266
106	0.4825569438
107	0.4822730958
108	0.4815683208
109	0.4813443103
110	0.4810978986
111	0.4808120087
112	0.4805698607
113	0.4803357125
114	0.4799922219
115	0.4797768355
116	0.4795466436
117	0.4793209552
118	0.4791103872
119	0.4788232588
120	0.4786029351
121	0.4783494849
122	0.4780597007
123	0.4778290618
124	0.4775739748
125	0.4773414443
126	0.477114844
127	0.476853163
128	0.4766562389
129	0.4764288332
130	0.4761800899
131	0.4759649704
132	0.4753306003
133	0.4751359829
134	0.4749523665
135	0.4747157012
136	0.4745516694
137	0.4743606098
138	0.4737931442
139	0.4732440703
140	0.4730378332
141	0.4728401974
142	0.47266931
143	0.4725052764
144	0.471988052
145	0.4717938305
146	0.4716201092
147	0.4714328151
148	0.4712198991
149	0.471075701
150	0.4708982217
151	0.4707330618
152	0.4705669139
153	0.4703383008
154	0.4701826009
155	0.4700372353
156	0.4698640036
157	0.4696825046
158	0.4694799868
159	0.4692953595
160	0.4688076183
161	0.4685511943
162	0.4682386091
163	0.467982854
164	0.467786188
165	0.4676049784
166	0.4674687507
167	0.4673144684
168	0.4671579541
169	0.4669402715
170	0.4667335526
171	0.4665615995
172	0.4661274835
173	0.465847906
174	0.4657571745
175	0.4656455603
176	0.4654523384
177	0.4652735752
178	0.4648102287
179	0.4647000146
180	0.4645571734
181	0.4644376949
182	0.4643110217
183	0.4641815593
184	0.4640502059
185	0.4639345251
186	0.4638420724
187	0.4637277153
188	0.4635956233
189	0.4634935045
190	0.4632884705
191	0.4629292199
192	0.4628094388
193	0.4626182232
194	0.4625101466
195	0.4624125179
196	0.4622755932
197	0.4621531204
198	0.4620198272
199	0.4616697017
200	0.4614747088
201	0.4612363228
202	0.4611155008
203	0.4609945048
204	0.4608793517
205	0.4607531636
206	0.46061783
207	0.4605291332
208	0.4604329552
209	0.4602941461
210	0.4601380571
211	0.4599457941
212	0.4597900651
213	0.4596750378
214	0.4595640104
215	0.4592470867
216	0.4591541415
217	0.4590286983
218	0.4588877804
219	0.4585855301
220	0.4583474411
221	0.4582408607
222	0.4580662398
223	0.4579719909
224	0.4578519285
225	0.457758821
226	0.4576761408
227	0.4575890302
228	0.4574888523
229	0.4573746391
230	0.4572601874
231	0.4571861946
232	0.45701379
233	0.4568246647
234	0.4566464539
235	0.4565888042
236	0.4564915922
237	0.4563537853
238	0.4562215223
239	0.456105516
240	0.4558826752
241	0.4558124874
242	0.4557178992
243	0.4556451658
244	0.4555633494
245	0.4554743683
246	0.4553887191
247	0.4552987959
248	0.4551844865
249	0.4550564433
250	0.4549783285
251	0.4548939629
252	0.4548150015
253	0.4547479798
254	0.4546909563
255	0.4546160326
256	0.4543497417
257	0.4543022014
258	0.4542025448
259	0.4541313178
260	0.453976497
261	0.453907707
262	0.4538126901
263	0.4537420277
264	0.453642807
265	0.4535747444
266	0.4533177545
267	0.4532430178
268	0.4531224278
269	0.4530134618
270	0.452925476
271	0.452851672
272	0.452721592
273	0.4526262223
274	0.4525401965
275	0.4524628041
276	0.4523763144
277	0.4523027955
278	0.4522381506
