,Period,Power Spectral Density
2,365.0,49083.15
104,7.02,15940.72
105,6.95,3496.29
6,121.67,2537.28
208,3.51,2249.32
1,730.0,2232.54
106,6.89,2088.93
4,182.5,1994.99
209,3.49,1785.31
8,91.25,1076.48
