,precision,recall,f1-score,support
Indemnes,0.7379130650564539,0.7734356373409628,0.7552568918990423,46137.0
Blessés légers,0.13502522780329845,0.5878688524590164,0.2196092840957805,3050.0
Blessés graves,0.3674008395038438,0.4451428571428571,0.4025527736867943,17500.0
Tués,0.6966556108347153,0.44712508592589306,0.5446711956888751,45097.0
accuracy,0.5853342159879769,0.5853342159879769,0.5853342159879769,0.5853342159879769
macro avg,0.48424868579957786,0.5633931082171824,0.4805225363426231,111784.0
weighted avg,0.6468145244439283,0.5853342159879769,0.6004688147636366,111784.0
