,precision,recall,f1-score,support
Indemnes,0.7406435993140321,0.795673754253636,0.7671730998307247,46137.0
Blessés légers,0.7145647503092649,0.48672860722442735,0.5790410868561631,45097.0
Blessés graves,0.40468384074941455,0.4937142857142857,0.4447876447876448,17500.0
Tués,0.1656979607920402,0.5514754098360656,0.2548291796076055,3050.0
accuracy,0.6171008373291348,0.6171008373291348,0.6171008373291348,0.6171008373291348
macro avg,0.506397537791188,0.5818980142571036,0.5114577527705345,111784.0
weighted avg,0.6618402121929695,0.6171008373291348,0.6268257888645021,111784.0
