,Period,Power Spectral Density
2,365.0,108591.35
6,121.67,46699.13
4,182.5,41885.7
1,730.0,35481.18
104,7.02,33193.9
8,91.25,17866.31
208,3.51,17078.47
209,3.49,15610.26
3,243.33,10748.04
16,45.62,6786.98
