,precision,recall,f1-score,support
Indemnes,0.7039718254744668,0.7798428610132755,0.7399676084218103,36910.0
Blessés légers,0.6772331735038182,0.42280614224735297,0.5205965666700795,36078.0
Blessés graves,0.3594035729357153,0.365,0.3621801686866539,14000.0
Tués,0.12095270384810985,0.5848360655737705,0.20044950133445708,2440.0
accuracy,0.5655387574361498,0.5655387574361498,0.5655387574361498,0.5655387574361498
macro avg,0.4653903189405275,0.5381212672085998,0.45579846127825024,89428.0
weighted avg,0.6233348965695613,0.5655387574361498,0.5776032842514802,89428.0
