,precision,recall,f1-score,support
Autres,0.8763127794530519,0.7702560665376941,0.819868827473267,65647.0
Indemnes,0.721127177249362,0.8453085376162299,0.7782955327832047,46137.0
accuracy,0.8012327345595076,0.8012327345595076,0.8012327345595076,0.8012327345595076
macro avg,0.7987199783512069,0.807782302076962,0.7990821801282358,111784.0
weighted avg,0.8122624848771588,0.8012327345595076,0.8027101366309694,111784.0
