,precision,recall,f1-score,support
Indemnes,0.7325748996190672,0.7711189379571932,0.7513529209894142,55365.0
Blessés légers,0.6832401928555775,0.46088033114051297,0.5504524387552416,54116.0
Blessés graves,0.37098356153634904,0.4502857142857143,0.4068059110757383,21000.0
Tués,0.14354722422494592,0.5439890710382513,0.2271534512264689,3660.0
accuracy,0.5895363833578101,0.5895363833578101,0.5895363833578101,0.5895363833578101
macro avg,0.4825864695589849,0.5565685136054179,0.48394118051171575,134141.0
weighted avg,0.6399927928590715,0.5895363833578101,0.6020623404502499,134141.0
