iter	Passed	Remaining
0	170	84880
1	271	67488
2	351	58308
3	433	53787
4	515	51023
5	616	50788
6	699	49284
7	783	48164
8	865	47221
9	949	46506
10	1030	45807
11	1151	46827
12	1248	46756
13	1363	47318
14	1459	47200
15	1553	46991
16	1646	46784
17	1761	47181
18	1858	47036
19	1952	46857
20	2069	47206
21	2188	47540
22	2283	47348
23	2393	47477
24	2497	47456
25	2599	47382
26	2749	48159
27	2845	47969
28	2944	47816
29	3055	47875
30	3164	47878
31	3257	47643
32	3359	47547
33	3457	47381
34	3549	47152
35	3640	46920
36	3745	46873
37	3839	46678
38	3941	46585
39	4045	46521
40	4150	46468
41	4234	46175
42	4342	46154
43	4434	45962
44	4511	45616
45	4595	45358
46	4671	45026
47	4747	44707
48	4832	44475
49	4909	44187
50	4986	43900
51	5062	43614
52	5139	43342
53	5215	43076
54	5291	42815
55	5368	42565
56	5461	42444
57	5565	42410
58	5641	42167
59	5723	41972
60	5811	41822
61	5897	41659
62	5982	41500
63	6061	41292
64	6146	41132
65	6224	40929
66	6308	40769
67	6385	40567
68	6469	40412
69	6549	40233
70	6626	40040
71	6704	39853
72	6810	39838
73	6888	39652
74	6971	39504
75	7071	39450
76	7174	39411
77	7251	39233
78	7326	39044
79	7404	38874
80	7482	38705
81	7572	38602
82	7661	38491
83	7755	38407
84	7838	38272
85	7938	38216
86	8033	38135
87	8118	38011
88	8209	37913
89	8298	37803
90	8395	37735
91	8494	37671
92	8600	37637
93	8684	37509
94	8776	37415
95	8870	37330
96	8954	37203
97	9039	37082
98	9146	37046
99	9239	36957
100	9325	36838
101	9400	36681
102	9489	36577
103	9581	36482
104	9669	36373
105	9753	36253
106	9848	36171
107	9942	36086
108	10029	35975
109	10121	35884
110	10221	35819
111	10322	35759
112	10412	35661
113	10512	35593
114	10602	35496
115	10702	35427
116	10787	35313
117	10879	35220
118	10972	35131
119	11054	35005
120	11157	34946
121	11265	34903
122	11366	34837
123	11450	34721
124	11528	34584
125	11627	34513
126	11719	34418
127	11826	34369
128	11908	34247
129	11990	34126
130	12095	34070
131	12190	33985
132	12289	33912
133	12378	33809
134	12468	33710
135	12552	33596
136	12635	33478
137	12734	33405
138	12816	33287
139	12899	33169
140	12996	33091
141	13077	32970
142	13164	32866
143	13255	32771
144	13346	32676
145	13431	32566
146	13526	32483
147	13618	32389
148	13717	32314
149	13810	32225
150	13901	32130
151	13987	32025
152	14083	31942
153	14179	31856
154	14269	31760
155	14362	31670
156	14444	31557
157	14527	31445
158	14631	31380
159	14714	31269
160	14797	31158
161	14902	31093
162	14995	31002
163	15083	30902
164	15176	30812
165	15259	30703
166	15355	30618
167	15436	30506
168	15519	30396
169	15623	30327
170	15712	30230
171	15808	30145
172	15911	30075
173	16003	29984
174	16094	29889
175	16183	29791
176	16284	29717
177	16375	29623
178	16489	29571
179	16596	29505
180	16718	29464
181	16829	29404
182	16924	29317
183	17031	29250
184	17127	29163
185	17232	29091
186	17328	29003
187	17421	28912
188	17522	28833
189	17615	28740
190	17711	28653
191	17808	28568
192	17903	28479
193	17996	28386
194	18096	28305
195	18194	28220
196	18293	28137
197	18399	28064
198	18503	27988
199	18601	27902
200	18716	27841
201	18809	27748
202	18908	27663
203	19002	27571
204	19115	27508
205	19229	27443
206	19328	27358
207	19429	27276
208	19533	27197
209	19634	27114
210	19725	27017
211	19811	26913
212	19916	26835
213	20010	26743
214	20109	26656
215	20193	26551
216	20299	26473
217	20382	26366
218	20488	26288
219	20598	26215
220	20699	26131
221	20794	26040
222	20908	25971
223	21016	25895
224	21105	25795
225	21201	25704
226	21315	25635
227	21418	25551
228	21501	25444
229	21584	25337
230	21662	25226
231	21757	25133
232	21844	25032
233	21935	24935
234	22049	24863
235	22157	24786
236	22297	24744
237	22388	24646
238	22482	24552
239	22606	24490
240	22728	24426
241	22833	24342
242	22953	24276
243	23077	24212
244	23218	24165
245	23347	24106
246	23494	24064
247	23612	23992
248	23722	23912
249	23817	23817
250	23931	23740
251	24043	23661
252	24162	23589
253	24259	23495
254	24351	23396
255	24448	23302
256	24551	23213
257	24665	23135
258	24770	23049
259	24872	22958
260	24953	22849
261	25049	22755
262	25135	22650
263	25238	22561
264	25323	22456
265	25418	22360
266	25500	22253
267	25586	22149
268	25679	22051
269	25782	21962
270	25872	21862
271	25965	21765
272	26049	21660
273	26134	21556
274	26233	21463
275	26322	21362
276	26428	21276
277	26512	21171
278	26598	21069
279	26703	20981
280	26801	20888
281	26884	20782
282	26971	20681
283	27061	20581
284	27168	20495
285	27246	20387
286	27351	20299
287	27443	20201
288	27549	20113
289	27650	20022
290	27745	19926
291	27846	19836
292	27938	19738
293	28028	19638
294	28125	19544
295	28216	19446
296	28317	19355
297	28413	19260
298	28508	19164
299	28614	19076
300	28698	18973
301	28801	18883
302	28905	18793
303	28999	18697
304	29109	18610
305	29199	18511
306	29298	18418
307	29386	18318
308	29480	18222
309	29575	18126
310	29683	18039
311	29769	17937
312	29852	17834
313	29953	17743
314	30037	17641
315	30123	17540
316	30214	17442
317	30304	17344
318	30392	17244
319	30491	17151
320	30577	17050
321	30669	16954
322	30760	16856
323	30862	16764
324	30954	16667
325	31060	16578
326	31158	16484
327	31252	16388
328	31337	16287
329	31440	16196
330	31525	16096
331	31622	16001
332	31712	15903
333	31799	15804
334	31898	15710
335	31987	15612
336	32079	15516
337	32166	15416
338	32275	15328
339	32375	15235
340	32459	15135
341	32558	15041
342	32663	14950
343	32753	14853
344	32852	14760
345	32949	14665
346	33042	14569
347	33141	14475
348	33236	14380
349	33340	14288
350	33440	14195
351	33531	14098
352	33640	14009
353	33727	13910
354	33823	13815
355	33917	13719
356	34023	13628
357	34108	13529
358	34198	13431
359	34290	13335
360	34379	13237
361	34468	13139
362	34562	13044
363	34657	12948
364	34761	12857
365	34870	12766
366	34967	12672
367	35073	12580
368	35180	12489
369	35276	12394
370	35375	12300
371	35470	12204
372	35562	12108
373	35652	12011
374	35754	11918
375	35838	11819
376	35941	11726
377	36043	11633
378	36141	11538
379	36227	11440
380	36324	11345
381	36430	11253
382	36531	11159
383	36619	11062
384	36714	10966
385	36814	10872
386	36920	10780
387	37025	10687
388	37130	10595
389	37221	10498
390	37325	10405
391	37408	10306
392	37509	10212
393	37615	10119
394	37714	10025
395	37817	9931
396	37924	9839
397	38017	9743
398	38103	9645
399	38199	9549
400	38304	9456
401	38388	9358
402	38478	9261
403	38586	9169
404	38697	9077
405	38798	8982
406	38882	8884
407	38979	8789
408	39086	8696
409	39183	8601
410	39290	8508
411	39402	8415
412	39493	8319
413	39584	8222
414	39679	8127
415	39765	8029
416	39871	7936
417	39969	7840
418	40059	7744
419	40157	7649
420	40250	7553
421	40342	7456
422	40433	7360
423	40529	7264
424	40637	7171
425	40747	7078
426	40838	6981
427	40979	6893
428	41080	6798
429	41182	6704
430	41274	6607
431	41380	6513
432	41466	6416
433	41577	6322
434	41692	6229
435	41834	6140
436	41920	6043
437	42005	5946
438	42098	5849
439	42184	5752
440	42280	5656
441	42377	5560
442	42469	5464
443	42573	5369
444	42667	5273
445	42774	5178
446	42870	5083
447	42978	4988
448	43061	4891
449	43169	4796
450	43252	4699
451	43358	4604
452	43456	4508
453	43544	4412
454	43652	4317
455	43758	4222
456	43851	4126
457	43957	4031
458	44048	3934
459	44153	3839
460	44256	3744
461	44364	3649
462	44449	3552
463	44548	3456
464	44652	3360
465	44741	3264
466	44836	3168
467	44925	3071
468	45035	2976
469	45132	2880
470	45224	2784
471	45331	2689
472	45424	2592
473	45527	2497
474	45612	2400
475	45720	2305
476	45831	2209
477	45942	2114
478	46086	2020
479	46209	1925
480	46428	1833
481	46632	1741
482	46838	1648
483	47058	1555
484	47318	1463
485	47501	1368
486	47626	1271
487	47737	1173
488	47841	1076
489	47961	978
490	48065	881
491	48263	784
492	48394	687
493	48502	589
494	48587	490
495	48683	392
496	48779	294
497	48869	196
498	48975	98
499	49066	0
