iter	MultiClassOneVsAll
0	0.6618321655
1	0.6363188758
2	0.6149381331
3	0.5972642506
4	0.5822056943
5	0.5696298492
6	0.5602195119
7	0.5509018453
8	0.5438853069
9	0.5368240929
10	0.5314063392
11	0.526605638
12	0.522550882
13	0.5184605486
14	0.5150150706
15	0.5119845732
16	0.5084994451
17	0.5058373878
18	0.5022403644
19	0.4995316251
20	0.4972494805
21	0.4952594935
22	0.4931873604
23	0.4916310667
24	0.4898634969
25	0.4882301327
26	0.4868103322
27	0.4855186999
28	0.4843682207
29	0.4832934498
30	0.482327256
31	0.4811753263
32	0.4803604653
33	0.4794197967
34	0.4785623386
35	0.4777714701
36	0.4770878665
37	0.475263081
38	0.4743362796
39	0.4734471589
40	0.4728053111
41	0.4721984783
42	0.4715911054
43	0.4709574009
44	0.4703817753
45	0.46954522
46	0.4690051798
47	0.4684169781
48	0.4669663319
49	0.4665530147
50	0.4659735218
51	0.4653091037
52	0.4645924722
53	0.463347865
54	0.46290558
55	0.4625462228
56	0.4620009999
57	0.4616777634
58	0.4613364609
59	0.4609305954
60	0.4606368328
61	0.4602765604
62	0.4598647576
63	0.4593268175
64	0.4588190877
65	0.4584736811
66	0.4581584163
67	0.4578912995
68	0.4576466938
69	0.45675162
70	0.4563911758
71	0.4555741952
72	0.4552249375
73	0.4547016371
74	0.4542695006
75	0.4540528896
76	0.453753801
77	0.4532873063
78	0.452905987
79	0.4526187471
80	0.4522723374
81	0.4520255019
82	0.4517563664
83	0.4512669713
84	0.4510593774
85	0.4508754366
86	0.4506893929
87	0.4503866091
88	0.4502057979
89	0.4499895938
90	0.4497618515
91	0.4495547711
92	0.4493354475
93	0.4491002045
94	0.4489041899
95	0.448710167
96	0.4484026701
97	0.4481734667
98	0.4475636788
99	0.4473340907
100	0.4471579463
101	0.4469670304
102	0.4467647491
103	0.4465503209
104	0.4463686213
105	0.4460380998
106	0.4459072668
107	0.4457703902
108	0.4455483929
109	0.4454215017
110	0.4453137116
111	0.4451564873
112	0.4450184854
113	0.4448114559
114	0.4446257805
115	0.4444855791
116	0.4443047108
117	0.4442053468
118	0.4440175153
119	0.4437810763
120	0.4436584107
121	0.4434000784
122	0.4432544904
123	0.4430007506
124	0.4428415987
125	0.4424381068
126	0.4423114211
127	0.4422120951
128	0.4420964553
129	0.44200832
130	0.4419157136
131	0.4417297469
132	0.4416267931
133	0.4415253018
134	0.4413799984
135	0.4412381871
136	0.4410724077
137	0.4409230521
138	0.4408135485
139	0.440675766
140	0.4405642412
141	0.4404803827
142	0.4403177766
143	0.4402035834
144	0.4400574138
145	0.4399905526
146	0.4397870522
147	0.4397115136
148	0.439563571
149	0.4394641626
150	0.4393585627
151	0.4392703517
152	0.4391612545
153	0.4390918779
154	0.4389253835
155	0.4388559557
156	0.438793457
157	0.4386929901
158	0.4386168901
159	0.4385264714
160	0.4384345874
161	0.4383654018
162	0.4382693446
163	0.4381860048
164	0.4381187939
165	0.4380272532
166	0.437811703
167	0.4377494561
168	0.4377110713
169	0.4376647199
170	0.4375881814
171	0.4375336282
172	0.4374547228
173	0.4372842486
174	0.4372232461
175	0.4371188873
176	0.4369579836
177	0.4369335532
178	0.4368570649
179	0.4367944523
180	0.4366756121
181	0.4366094528
182	0.436566877
183	0.436375003
184	0.4362712158
185	0.4362088005
186	0.4361672167
187	0.4361107018
188	0.436066379
189	0.4360046997
190	0.4359598265
191	0.4359105431
192	0.4357650667
193	0.4355939391
194	0.4354800863
195	0.4354135191
196	0.4353895488
197	0.4352947592
198	0.4352784983
199	0.4351347332
200	0.4350841593
201	0.435001813
202	0.4349571293
203	0.4349138485
204	0.4348320162
205	0.4347533966
206	0.43468417
207	0.434447804
208	0.434410242
209	0.4343235213
210	0.4341857858
211	0.4341308306
212	0.4340904625
213	0.4340491026
214	0.4340130505
215	0.4338096602
216	0.4337612286
217	0.4337180217
218	0.4336709384
219	0.4335823164
220	0.4335144265
221	0.4334438849
222	0.433392926
223	0.4333603879
224	0.4333043871
225	0.4332711243
226	0.4332293158
227	0.4331807434
228	0.4331624301
229	0.433127438
230	0.433066082
231	0.4330496326
232	0.4330277193
233	0.4329921479
234	0.4329386615
235	0.4329233455
236	0.4328892406
237	0.4326428275
238	0.432578105
239	0.4324386558
240	0.4324306198
241	0.432399864
242	0.4323279728
243	0.4322826994
244	0.432247129
245	0.4321714911
246	0.4319987249
247	0.4319727178
248	0.4319229422
249	0.4318460261
250	0.4318291433
251	0.4317627174
252	0.4316996013
253	0.431660336
254	0.4315913899
255	0.4315576621
256	0.4315306836
257	0.4314723023
258	0.4314492663
259	0.4314123392
260	0.4313377858
261	0.4313142694
262	0.4312855926
263	0.4312578237
264	0.4312076548
265	0.431194571
266	0.4311657871
267	0.4311164247
268	0.4310797127
269	0.4310625176
270	0.431016692
271	0.4309962254
272	0.430945677
273	0.4309396155
274	0.4309229082
275	0.4308873293
276	0.4308713343
277	0.4308173605
278	0.4307743046
279	0.4307280726
