iter	Passed	Remaining
0	332	166121
1	611	152249
2	836	138637
3	1072	132998
4	1306	129332
5	1577	129888
6	1809	127463
7	2045	125807
8	2249	122731
9	2480	121548
10	2686	119440
11	2919	118725
12	3126	117107
13	3330	115610
14	3536	114342
15	3789	114619
16	4030	114520
17	4313	115505
18	4583	116025
19	4834	116016
20	5054	115297
21	5278	114683
22	5501	114097
23	5758	114203
24	6016	114320
25	6280	114505
26	6539	114563
27	6766	114069
28	6984	113434
29	7261	113764
30	7483	113223
31	7746	113287
32	7984	112992
33	8247	113033
34	8505	112999
35	8769	113034
36	9030	113001
37	9300	113071
38	9564	113058
39	9823	112969
40	10081	112858
41	10356	112939
42	10602	112683
43	10832	112264
44	11103	112273
45	11344	111964
46	11606	111870
47	11873	111807
48	12090	111283
49	12362	111262
50	12638	111266
51	12904	111175
52	13177	111142
53	13454	111124
54	13720	111009
55	13986	110893
56	14240	110675
57	14509	110575
58	14769	110394
59	15132	110968
60	15375	110655
61	15641	110499
62	15885	110192
63	16141	109963
64	16363	109509
65	16635	109393
66	16881	109099
67	17164	109043
68	17418	108804
69	17693	108688
70	17949	108455
71	18172	108024
72	18424	107772
73	18670	107483
74	18900	107101
75	19106	106591
76	19310	106083
77	19545	105744
78	19757	105287
79	19948	104730
80	20160	104288
81	20388	103930
82	20625	103622
83	20860	103311
84	21095	102995
85	21294	102509
86	21546	102284
87	21788	102010
88	22012	101655
89	22253	101374
90	22492	101094
91	22729	100799
92	22927	100338
93	23154	100009
94	23386	99702
95	23625	99424
96	23860	99131
97	24091	98823
98	24343	98603
99	24576	98307
100	24784	97912
101	25020	97628
102	25237	97272
103	25461	96950
104	25694	96659
105	25892	96241
106	26144	96027
107	26378	95743
108	26615	95474
109	26846	95182
110	27072	94874
111	27273	94484
112	27523	94263
113	27746	93950
114	27970	93638
115	28200	93354
116	28409	92997
117	28615	92635
118	28846	92356
119	29083	92096
120	29315	91821
121	29552	91563
122	29788	91303
123	30020	91030
124	30276	90830
125	30535	90636
126	30798	90454
127	31057	90261
128	31308	90042
129	31583	89890
130	31803	89582
